fv_e1,fv_e2,fv_e3,fv_e4,fv_e5,fv_e7,fv_e8,fv_e9,fv_e10,fv_e11,fv_e12,fv_e13,fv_e14,fv_e15,fv_e16,fv_e17,class
66.2382474167,33.7617525833,1.9619315453,1.6076052285,3.9723038826,6.6205621918,6.0203789282,0.092144512,0.5396825397,21.1666666667,0.3359375,1.0996919415,0.8622261063,0.1631693549,0.0920898094,9.7525264333,1
60.6816683552,39.3183316448,1.5433429094,1.7621235349,3.6312364754,7.2117937965,5.8893407771,0.1063280453,0.6136363636,19,0.2421875,1.2245502628,0.8611011573,0.1691943659,0.1063278331,9.7353878083,1
61.5202312474,38.4797687526,1.5987682162,1.8101536758,3.9042092683,4.0640975341,4.0972801898,0.0818151414,0.4586466165,13.4,0.1015625,0.9919012969,0.8558139178,0.1311873942,0.0818138977,9.7520588738,1
66.3300759247,33.6699240753,1.9700096673,1.7637513537,3.9600082956,5.6565808818,5.270155908,0.0995432129,0.390625,18.4285714286,0.1796875,1.0733232528,0.8894815992,0.1539333274,0.0995221946,9.7963864837,1
57.2992693632,42.7007306368,1.341880303,1.6871836645,3.5285982217,8.9601784366,8.7951147058,0.1315662202,0.4920634921,25.4,0.328125,1.0187676609,0.9097225083,0.1936086878,0.1315584641,9.8216872623,1
58.1268615048,41.8731384952,1.3881658647,1.5227092065,3.7462693738,9.4594507475,9.250763524,0.1228340443,0.5555555556,18.1428571429,0.09375,1.0225589188,0.9055788935,0.1974946482,0.1228094469,9.7840940701,1
60.4807825804,39.5192174196,1.5304144801,1.6358678895,3.8350802927,6.4338328488,4.8891811377,0.0981796322,0.5873015873,18.1428571429,0.1796875,1.3159326005,0.9077076328,0.1549505263,0.0981782638,9.7900290231,1
55.2161372565,44.7838627435,1.2329471795,1.9755820141,3.5459163652,2.4308243646,3.9990404462,0.076143063,0.5,14.1111111111,0.140625,0.6078519078,0.8927898067,0.1179149668,0.0761428976,9.803979945,1
62.103359278,37.896640722,1.6387563144,1.9097985362,3.7729526181,3.404943294,4.3637493312,0.0803238714,0.4117647059,13.3333333333,0.140625,0.7802793047,0.924569145,0.1325162138,0.0803231681,9.8070884276,1
61.1026100015,38.8973899985,1.5708665801,2.3769814807,2.9121367864,6.980484136,10.5574840215,0.1081553024,0.5217391304,23.2,0.3359375,0.6611882265,0.9824277268,0.1999904591,0.1081540756,9.8066546589,1
67.8577011098,32.1422988902,2.1111651454,2.1862913559,3.2155287487,13.6266614291,21.8689562424,0.1478638339,0.701754386,28.75,0.3359375,0.6231052492,1.0025721562,0.2693749653,0.1478617264,9.7918794096,1
64.6326083575,35.3673916425,1.8274632467,1.7320223665,3.7568932783,16.5379908221,14.1985196346,0.1516340717,0.7190082645,30.5,0.421875,1.1647686694,0.9551040774,0.2493942889,0.1516255861,9.8240480837,1
60.3372065974,39.6627934026,1.5212545921,1.3183072664,3.6958031804,11.8913689866,8.6055935422,0.1226759815,0.6220472441,21.3333333333,0.1875,1.3818185728,0.9696056452,0.1999783094,0.1226716657,9.8349007847,1
65.2044658498,34.7955341502,1.8739320273,1.6925871567,3.8268624047,17.6992348872,8.2515397359,0.1244723178,0.5982905983,23.6,0.2734375,2.1449614804,1.0066149956,0.2218599437,0.1244699408,9.8051367316,1
64.8497963336,35.1502036664,1.8449337292,1.7849648488,4.0296919808,14.0073369815,5.7266460935,0.1050619001,0.4608695652,16.5714285714,0.0390625,2.4459931263,0.9632502892,0.1987890547,0.1050619,9.8008519758,1
71.1599926815,28.8400073185,2.4674055001,2.117885074,3.5297292165,3.1031422289,2.8937095566,0.0584127217,0.3571428571,12.7,0.1796875,1.0723751532,0.9256268876,0.1132586397,0.0584100797,9.8173345951,1
62.2349914259,37.7650085741,1.647953854,1.750682679,3.42203277,5.3638144766,6.106469914,0.0930130762,0.4274193548,15.625,0.21875,0.8783821999,0.9611991652,0.1532363635,0.09301277,9.8193366419,1
65.1299244718,34.8700755282,1.8677884543,1.668219875,3.9079625873,8.2368801807,6.7494780608,0.1075412615,0.4745762712,11.9,0.109375,1.2203729098,0.9945014762,0.17319543,0.1075361527,9.8184067423,1
58.9159685695,41.0840314305,1.4340357194,1.7998784711,3.6062654497,4.3787259379,4.2731726288,0.0936300167,0.4959349593,13.7777777778,0.171875,1.0247013913,0.9495157202,0.1367106159,0.0936196432,9.8022155491,1
52.4148932911,47.5851067089,1.1014978618,2.2412236769,2.8709507643,3.2239571146,5.6455486906,0.0940642946,0.5,11.3636363636,0.0703125,0.5710617854,0.96139255,0.1433605564,0.0939707703,9.7564521473,1
59.0074206127,40.9925793873,1.4394659105,2.2905296541,3.0030816989,3.7379432626,6.5421608448,0.0864063741,0.5158730159,18.1428571429,0.2109375,0.571362177,0.9270396424,0.151326889,0.08639582,9.7303737342,1
43.3413764474,56.6586235526,0.7649563955,2.0150706761,2.6129303711,2.0771486804,4.4342567179,0.0812638114,0.4503816794,14.6666666667,0.1640625,0.4684322114,0.8867658601,0.1173414141,0.0811911758,9.7273135916,1
60.408010204,39.591989796,1.5257634313,2.1449483654,3.233113896,4.3501496678,9.7672489669,0.0936346998,0.4609375,18.4285714286,0.2734375,0.4453812617,0.8970403115,0.1777662787,0.0936331976,9.7545622882,1
57.7021355805,42.2978644195,1.3641855534,1.9423616696,3.386480447,5.5548501025,10.195753752,0.1105409568,0.5737704918,24.6,0.34375,0.5448199552,0.9207041591,0.1873077234,0.1105394677,9.7524783844,1
